id;filename;cantG1;cantM204;filament_type;default_acceleration;travel_speed;layer_height;support_material;infill_speed;fill_density;fill_pattern;nozzle_diameter
1;00_Pod52mmVoyage_v1.1_2piezas_ABS020-SHI30P4.gcode;64859;1759;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
2;00_Pod52mmVoyage_v1.1dis_pieza1_HQ_ABS020-SHI30P4.gcode;170662;13377;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
3;00_Pod52mmVoyage_v1.1dis_pieza1recto_ABS020-SRI20P4.gcode;136620;8971;ABS;1000;120;0.2;60;60;20;rectilinear;0.4
4;00_Pod52mmVoyage_v1.1dis_pieza2_HQ_ABS020-SHI30P4.gcode;64859;1759;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
5;00_Pod52mmVoyage_v1.1dis_pieza2recto_ABS020-SRI20P4.gcode;64645;1691;ABS;1000;120;0.2;60;60;20;rectilinear;0.4
6;00_Pod52mmVoyage_v3dis_pieza1_PLA015.gcode;345329;21459;PLA;1000;120;0.15;60;60;20;cubic;0.4
7;01_Pod52mmVoyage_v2_HQ_ABS020-SHI30P4.gcode;258677;15567;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
8;01_Pod52mmVoyage_v3dis_pieza2_PLA015_S.gcode;149251;3025;PLA;1000;120;0.15;60;60;20;honeycomb;0.4
9;01_Pod_Subaru_PLA015.gcode;419395;13851;PLA;1000;80;0.15;60;60;20;cubic;0.4
10;01_Pod_Subaru_trabas_2_PLA015.gcode;5608;511;PLA;1000;80;0.15;60;60;20;cubic;0.4
11;01_Pod_Subaru_trabas_PLA015.gcode;4530;429;PLA;1000;80;0.15;60;60;20;cubic;0.4
12;4_Knobs_PLA015-CI20.gcode;255814;8757;PLA;1000;120;0.15;60;60;20;cubic;0.4
13;AcopleLavadero_2_PLA035-SHI30.gcode;19992;791;PLA;1000;120;0.35;60;60;30;honeycomb;0.4
14;AcopleLavadero_PLA020.gcode;96397;3139;PLA;1000;120;0.2;60;60;20;cubic;0.4
15;AdaptadorMasBoton_PLA015.gcode;57766;2649;PLA;1000;80;0.15;60;60;20;cubic;0.4
16;BordeConector_PLA010_TI20.gcode;8758;387;PLA;1000;120;0.1;60;60;20;triangles;0.4
17;LlavePOrton_ABS020-SHI30P4.gcode;31613;1535;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
18;LlavePOrton-v2_ABS020-SHI30P4.gcode;54172;2703;ABS;1000;120;0.2;60;60;30;honeycomb;0.4
19;Mango_Mandril_Prueba_ABS020-LI20_v1.gcode;47717;1935;PLA;1000;120;0.2;60;60;20;rectilinear;0.4
20;Mango_Mandril_Prueba_ABS020-LI20_v2.gcode;47295;1912;ABS;1000;120;0.2;60;60;20;rectilinear;0.4
21;Mango_Mandril_v1_part1_ABS020-LI10.gcode;275416;5134;ABS;1000;120;0.2;60;60;10;rectilinear;0.4
22;Mango_Mandril_v1_part2_ABS020-LI20.gcode;56910;1752;ABS;1000;120;0.2;60;60;20;rectilinear;0.4
23;MangoPlastico_PLA020-LI50.gcode;26637;1389;PLA;1000;120;0.2;60;60;50;rectilinear;0.4
24;orbital_020.gcode;43202;2107;PLA;1000;120;0.2;60;60;20;cubic;0.4
25;Perno.gcode;10359;500;ABS;1000;120;0.2;60;60;10;rectilinear;0.4
26;Plantilla_Frontal.gcode;2448;33;ABS;1000;120;0.2;60;60;20;cubic;0.4
27;Plantilla_profundidad.gcode;2565;59;ABS;1000;120;0.2;60;60;20;cubic;0.4
28;Pod52mmVoyage_HQ_ABS035-SHI30P3.gcode;198534;12991;ABS;1000;120;0.35;60;60;30;honeycomb;0.4
29;Pod52mmVoyage_HQ_ABS035-SHI30P4.gcode;194537;13065;ABS;1000;120;0.35;60;60;30;honeycomb;0.4
30;Pod_Golf_mk4_ABS035-SHI30P4.gcode;137292;7373;ABS;1000;120;0.35;60;60;30;honeycomb;0.4
31;Pod_Golf_mk4_PLA005_SRI20P3.gcode;859156;28775;PLA;500;150;0.05;60;30;20;rectilinear;0.4
32;Pod_Golf_mk4_v3p2_PLA005_SRI20P3.gcode;181525;5463;PLA;500;150;0.05;60;30;20;rectilinear;0.4
33;Pod_Golf_mk4_v3_PLA005_SRI20P3.gcode;867041;28055;PLA;500;150;0.05;60;30;20;rectilinear;0.4
34;Prueba_Subaru_2peines.gcode;4367;91;ABS;1000;120;0.2;60;60;20;cubic;0.4
35;Prueba_Subaru_peine.gcode;4202;77;ABS;1000;120;0.2;60;60;20;cubic;0.4
36;Sellos_Ale_PLA015.gcode;971755;40649;PLA;1000;80;0.15;60;60;20;cubic;0.4
37;Soporte_cable_bujia_Subar_v2-p1_PLA020.gcode;17813;1837;PLA;1000;120;0.2;60;60;20;cubic;0.4
38;Soporte_cable_bujia_Subar_v2-p1_x3_ABS015.gcode;70996;7735;ABS;1000;80;0.15;60;60;20;cubic;0.4
39;Soporte_iPhone6-7-8_v1_PLA020_HI20.gcode;153741;11973;PLA;1000;120;0.2;60;60;20;honeycomb;0.4
40;Soporte_iPhoneSE_PLA010_RI30.gcode;149739;7329;PLA;1000;120;0.1;60;60;30;rectilinear;0.4
41;Soporte_iPhoneSE_PLA020_HI20.gcode;151072;12111;PLA;1000;120;0.2;60;60;20;honeycomb;0.4
42;Soporte_iPhoneSE_v3_PLA010_HI10.gcode;177673;14505;PLA;1000;100;0.1;60;60;10;honeycomb;0.4
43;Spool-holder.gcode;304412;16467;ABS;1000;120;0.35;60;60;30;honeycomb;0.4
44;tapa_orbital_020.gcode;16484;1053;PLA;1000;100;0.1;60;60;10;honeycomb;0.4
45;Tapon_ABS015.gcode;29125;1161;ABS;1000;80;0.15;60;60;20;cubic;0.4
46;TaponV2_ABS015.gcode;29300;1001;ABS;1000;80;0.15;60;60;20;cubic;0.4